,n,GroundTruth,Static,Looped,ॐ Function (Strict)
589,1189,Composite,Prime,Composite,Prime
590,1191,Composite,Composite,Composite,Prime
594,1199,Composite,Prime,Composite,Prime
595,1201,Prime,Composite,Composite,Prime
596,1203,Composite,Prime,Prime,Prime
598,1207,Composite,Prime,Prime,Prime
600,1211,Composite,Composite,Composite,Prime
604,1219,Composite,Prime,Composite,Prime
605,1221,Composite,Composite,Composite,Prime
608,1227,Composite,Prime,Prime,Prime
610,1231,Prime,Composite,Composite,Prime
611,1233,Composite,Prime,Prime,Prime
615,1241,Composite,Composite,Composite,Prime
616,1243,Composite,Prime,Composite,Prime
618,1247,Composite,Prime,Composite,Prime
620,1251,Composite,Composite,Composite,Prime
623,1257,Composite,Prime,Prime,Prime
625,1261,Composite,Composite,Composite,Prime
626,1263,Composite,Prime,Prime,Prime
628,1267,Composite,Prime,Prime,Prime
630,1271,Composite,Composite,Composite,Prime
631,1273,Composite,Prime,Composite,Prime
635,1281,Composite,Composite,Composite,Prime
640,1291,Prime,Composite,Composite,Prime
641,1293,Composite,Prime,Prime,Prime
645,1301,Prime,Composite,Composite,Prime
650,1311,Composite,Composite,Composite,Prime
651,1313,Composite,Prime,Prime,Prime
653,1317,Composite,Prime,Prime,Prime
655,1321,Prime,Composite,Composite,Prime
660,1331,Composite,Composite,Composite,Prime
661,1333,Composite,Prime,Composite,Prime
663,1337,Composite,Prime,Prime,Prime
664,1339,Composite,Prime,Composite,Prime
665,1341,Composite,Composite,Composite,Prime
666,1343,Composite,Prime,Composite,Prime
668,1347,Composite,Prime,Prime,Prime
669,1349,Composite,Prime,Composite,Prime
670,1351,Composite,Composite,Composite,Prime
671,1353,Composite,Prime,Composite,Prime
673,1357,Composite,Prime,Composite,Prime
675,1361,Prime,Composite,Composite,Prime
676,1363,Composite,Prime,Composite,Prime
679,1369,Composite,Prime,Composite,Prime
680,1371,Composite,Composite,Composite,Prime
685,1381,Prime,Composite,Composite,Prime
686,1383,Composite,Prime,Prime,Prime
688,1387,Composite,Prime,Composite,Prime
690,1391,Composite,Composite,Composite,Prime
693,1397,Composite,Prime,Composite,Prime
695,1401,Composite,Composite,Composite,Prime
696,1403,Composite,Prime,Composite,Prime
698,1407,Composite,Prime,Prime,Prime
700,1411,Composite,Composite,Composite,Prime
701,1413,Composite,Prime,Prime,Prime
703,1417,Composite,Prime,Composite,Prime
705,1421,Composite,Composite,Composite,Prime
710,1431,Composite,Composite,Composite,Prime
713,1437,Composite,Prime,Prime,Prime
715,1441,Composite,Composite,Composite,Prime
716,1443,Composite,Prime,Composite,Prime
720,1451,Prime,Composite,Composite,Prime
723,1457,Composite,Prime,Composite,Prime
725,1461,Composite,Composite,Composite,Prime
729,1469,Composite,Prime,Composite,Prime
730,1471,Prime,Composite,Composite,Prime
731,1473,Composite,Prime,Prime,Prime
733,1477,Composite,Prime,Prime,Prime
735,1481,Prime,Composite,Composite,Prime
740,1491,Composite,Composite,Composite,Prime
743,1497,Composite,Prime,Prime,Prime
745,1501,Composite,Composite,Composite,Prime
746,1503,Composite,Prime,Prime,Prime
748,1507,Composite,Prime,Composite,Prime
750,1511,Prime,Composite,Composite,Prime
751,1513,Composite,Prime,Composite,Prime
753,1517,Composite,Prime,Composite,Prime
755,1521,Composite,Composite,Composite,Prime
758,1527,Composite,Prime,Prime,Prime
759,1529,Composite,Prime,Composite,Prime
760,1531,Prime,Composite,Composite,Prime
763,1537,Composite,Prime,Composite,Prime
765,1541,Composite,Composite,Composite,Prime
768,1547,Composite,Prime,Composite,Prime
770,1551,Composite,Composite,Composite,Prime
775,1561,Composite,Composite,Composite,Prime
776,1563,Composite,Prime,Prime,Prime
780,1571,Prime,Composite,Composite,Prime
781,1573,Composite,Prime,Composite,Prime
783,1577,Composite,Prime,Composite,Prime
785,1581,Composite,Composite,Composite,Prime
788,1587,Composite,Prime,Composite,Prime
790,1591,Composite,Composite,Composite,Prime
791,1593,Composite,Prime,Composite,Prime
795,1601,Prime,Composite,Composite,Prime
800,1611,Composite,Composite,Composite,Prime
803,1617,Composite,Prime,Composite,Prime
805,1621,Prime,Composite,Composite,Prime
806,1623,Composite,Prime,Prime,Prime
810,1631,Composite,Composite,Composite,Prime
811,1633,Composite,Prime,Composite,Prime
814,1639,Composite,Prime,Composite,Prime
815,1641,Composite,Composite,Composite,Prime
816,1643,Composite,Prime,Composite,Prime
819,1649,Composite,Prime,Composite,Prime
820,1651,Composite,Composite,Composite,Prime
821,1653,Composite,Prime,Composite,Prime
825,1661,Composite,Composite,Composite,Prime
830,1671,Composite,Composite,Composite,Prime
833,1677,Composite,Prime,Composite,Prime
834,1679,Composite,Prime,Composite,Prime
835,1681,Composite,Composite,Composite,Prime
836,1683,Composite,Prime,Composite,Prime
838,1687,Composite,Prime,Prime,Prime
840,1691,Composite,Composite,Composite,Prime
845,1701,Composite,Composite,Composite,Prime
846,1703,Composite,Prime,Prime,Prime
848,1707,Composite,Prime,Prime,Prime
850,1711,Composite,Composite,Composite,Prime
851,1713,Composite,Prime,Prime,Prime
853,1717,Composite,Prime,Prime,Prime
855,1721,Prime,Composite,Composite,Prime
858,1727,Composite,Prime,Composite,Prime
860,1731,Composite,Composite,Composite,Prime
864,1739,Composite,Prime,Composite,Prime
865,1741,Prime,Composite,Composite,Prime
870,1751,Composite,Composite,Composite,Prime
873,1757,Composite,Prime,Prime,Prime
875,1761,Composite,Composite,Composite,Prime
876,1763,Composite,Prime,Composite,Prime
878,1767,Composite,Prime,Composite,Prime
879,1769,Composite,Prime,Composite,Prime
880,1771,Composite,Composite,Composite,Prime
881,1773,Composite,Prime,Prime,Prime
885,1781,Composite,Composite,Composite,Prime
890,1791,Composite,Composite,Composite,Prime
891,1793,Composite,Prime,Composite,Prime
893,1797,Composite,Prime,Prime,Prime
895,1801,Prime,Composite,Composite,Prime
896,1803,Composite,Prime,Prime,Prime
898,1807,Composite,Prime,Composite,Prime
900,1811,Prime,Composite,Composite,Prime
903,1817,Composite,Prime,Composite,Prime
904,1819,Composite,Prime,Composite,Prime
905,1821,Composite,Composite,Composite,Prime
909,1829,Composite,Prime,Composite,Prime
910,1831,Prime,Composite,Composite,Prime
911,1833,Composite,Prime,Composite,Prime
913,1837,Composite,Prime,Composite,Prime
915,1841,Composite,Composite,Composite,Prime
916,1843,Composite,Prime,Composite,Prime
919,1849,Composite,Prime,Composite,Prime
920,1851,Composite,Composite,Composite,Prime
921,1853,Composite,Prime,Composite,Prime
923,1857,Composite,Prime,Prime,Prime
924,1859,Composite,Prime,Composite,Prime
925,1861,Prime,Composite,Composite,Prime
926,1863,Composite,Prime,Composite,Prime
930,1871,Prime,Composite,Composite,Prime
